,TID,CN,TW,EN,ES,RU,PO,DE,KR,JP,FR,IT,AR,TR,IN,
,To a Wild Rose Op.51 No.1,野玫瑰 Op.51 No.1,野玫瑰 Op.51 No.1,To a Wild Rose Op.51 No.1,To a Wild Rose Op.51 No.1,To a Wild Rose Оп. 51 №1,To a Wild Rose Op.51 No.1,To a Wild Rose Op.51 Nr.1,들장미에게 Op.51 No.1,To a Wild Rose Op.51 No.1,To a Wild Rose Op.51 No.1,To a Wild Rose Op.51 No.1,وردة برية No.1 Op.51,To a Wild Rose Op.51 No.1,To a Wild Rose Op.51 No.1,20
,L'Arlesienne Suite No.1 Prelude,法朗多尔舞曲,法朗多爾舞曲,L'Arlesienne Suite No.1 Prelude,L'Arlesienne Suite No.1 Prelude,L'Arlesienne Suite No.1 Prelude,L'Arlesienne Suite No.1 Prelude,L'Arlesienne Suite Nr.1 Prelude,아를르의 여인 모음곡 1번서곡,L'Arlesienne Suite No.1 Prelude,L'Arlesienne Suite No.1 Prelude,L'Arlesienne Suite No.1 Prelude,لسوناتا لارليزيان No.1 المقدمة,L'Arlesienne Suite No.1 Prelude,L'Arlesienne Suite No.1 Prelude,30
,Dark Side,Dark Side,Dark Side,Dark Side,Lado Oscuro,Темная сторона,Lado Sombrio,Dunkle Seite,다크사이드,ダークサイド,Le côté sombre,Lato scuro,الجانب المظلم,Dark Side,Dark Side,13
,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,Chances Are,11
,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,Feeling A Moment,16
,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,Best Of Me,10
,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,Mad World,9
,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,Mama Kin,8
,Melody of the Night No.5,夜的钢琴曲五,夜的鋼琴曲五,Melody of the Night No.5,Melody of the Night No.5,Мелодия ночи № 5,Melody of the Night No.5,Melody of the Night No.5,밤의 피아노곡,Melody of the Night No.5,Melody of the Night No.5,Melody of the Night No.5,لحن ليلة No.5,Melody of the Night No.5,Melody of the Night No.5,13
,L'Arlesienne Suite No.1 Minuetto,阿莱城姑娘 - 小步舞曲,阿萊城姑娘 - 小步舞曲,L'Arlésienne Suite No.1 Minuetto,L'Arlésienne Suite No.1 Minuetto,L'Arlésienne Suite No.1 Minuetto,L'Arlésienne Suite No.1 Minuetto,L'Arlésienne Suite Nr.1 Minuetto,아를의 여인 - 제1모음곡 미뉴엣,L'Arlésienne Suite No.1 Minuetto,L'Arlésienne Suite No.1 Minuetto,L'Arlésienne Suite No.1 Minuetto,فتاة في مدينة ألاي No.1 مينوت,L'Arlésienne Suite No.1 Minuetto,L'Arlésienne Suite No.1 Minuetto,29
,Alone World,一个人的世界,一個人的世界,Alone World,Alone World,Alone World,Alone World,Alone World,외로운세상,Alone World,Alone World,Alone World,عالم وحيد,Alone World,Dunia Sendirian,9
,This Old Man He Played One,一位老爷爷,一位老爺爺,This Old Man He Played One,This Old Man He Played One,This Old Man He Played One,This Old Man He Played One,This Old Man He Played One,노인,This Old Man He Played One,This Old Man He Played One,This Old Man He Played One,رجل كبير السن,This Old Man He Played One,This Old Man He Played One,13
,Toot - toot Song,嘟嘟歌,嘟嘟歌,Toot - toot Song,Toot - toot Song,Toot - toot Song,Toot - toot Song,Toot - toot Song,Toot - toot Song,Toot - toot Song,Toot - toot Song,Toot - toot Song,أغنية بوق-بوق,Toot - toot Song,Toot - toot Song,13
,La Paloma,鸽子,鴿子,La Paloma,La Paloma,Голубка,La Paloma,La Paloma,라팔로마,La Paloma,La Paloma,La Paloma,الحمام,La Paloma,La Paloma,6
,The Muffin Man,松饼人,松餅人,The Muffin Man,The Muffin Man,The Muffin Man,The Muffin Man,The Muffin Man,머핀맨,The Muffin Man,The Muffin Man,The Muffin Man,رجل الكعك,The Muffin Man,The Muffin Man,9
,Riverside Bicycling,河滨铁马乐,河濱鐵馬樂,Riverside Bicycling,Riverside Bicycling,Riverside Bicycling,Riverside Bicycling,Riverside Bicycling,Riverside Bicycling,Riverside Bicycling,Riverside Bicycling,Riverside Bicycling,الدراجة بالنهر,Riverside Bicycling,Riverside Bicycling,14
,Elves of Night,森林狂想曲,森林狂想曲,Elves of Night,Elves of Night,Ночные эльфы,Elves of Night,Elves of Night,lves of Night,Elves of Night,Elves of Night,Elves of Night,اقزام الليل,Elves of Night,Elves of Night,11
,Rain Crowns,雨之冕,雨之冕,Rain Crowns,Rain Crowns,Rain Crowns,Rain Crowns,Rain Crowns,빗방울 왕관,Rain Crowns,Rain Crowns,Rain Crowns,تيجان المطر,Rain Crowns,Mahkota Hujan,11
,Beo dat may troi,萍散云飞,萍散雲飛,Beo dat may troi,Bèo dạt mây trôi,Bèo dạt mây trôi,Bèo dạt mây trôi,Bèo dạt mây trôi,베오야메이쪼이,Bèo dạt mây trôi,Bèo dạt mây trôi,Bèo dạt mây trôi,الطحلب البطي يطير و تنتشر السحب,Beo dat may troi,Beo dat may troi,31
,Garland Waltz,花环华尔兹,花環華爾茲,Garland Waltz,Garland Waltz,Вальс с гирляндами,Garland Waltz,Garland Waltz,갈란드 왈츠,Garland Waltz,Garland Waltz,Garland Waltz,فالس الاكليل,Garland Waltz,Garland Waltz,12
,The Bear Went Over The Mountain,小熊上山,小熊上山,The Bear Went Over The Mountain,The Bear Went Over The Mountain,The Bear Went Over The Mountain,The Bear Went Over The Mountain,The Bear Went Over The Mountain,곰이 산으로 도망갔다,The Bear Went Over The Mountain,The Bear Went Over The Mountain,The Bear Went Over The Mountain,الدب ذهبت فوق الجبل,The Bear Went Over The Mountain,The Bear Went Over The Mountain,19
,Schon Rosmarin Op.55 No.4,美丽的罗斯玛丽,美麗的羅斯瑪麗,Schon Rosmarin Op.55 No.4,Schon Rosmarin Op.55 No.4,Schon Rosmarin Оп. 55 №4,Schon Rosmarin Op.55 No.4,Schon Rosmarin Op.55 Nr.4,아름다운 로즈마린 Op.55 No.4,Schon Rosmarin Op.55 No.4,Schon Rosmarin Op.55 No.4,Schon Rosmarin Op.55 No.4,روزماري الجميلة No.4 Op.55,Schon Rosmarin Op.55 No.4,Schon Rosmarin Op.55 No.4,26
,Scar,伤痕,傷痕,Scar,Scar,Scar,Scar,Scar,흉터,Scar,Scar,Scar,ندب,Scar,Bekas,3
,La Cucaracha,小强之歌,小強之歌,La Cucaracha,La Cucaracha,Кукарача,La Cucaracha,La Cucaracha,라쿠카라차,La Cucaracha,La Cucaracha,La Cucaracha,الصرصور,La Cucaracha,La Cucaracha,7
,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,Free Loop,9
,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,Bad Day,7
,Try,Try,Try,Try,Try,Try,Try,Try,Try,Try,Try,Try,Try,Try,Try,3
,Kitten Cleo,猫咪克莱奥,貓咪克萊奧,Kitten Cleo,Gatita Cleo,Kitten Cleo,Kitten Cleo,Kitten Cleo,고양이 클레오,Kitten Cleo,Kitten Cleo,Kitten Cleo,هريرة كليآو,Kitten Cleo,Kucing Cleo,11
,Johnny Has Gone for a Soldier,强尼从军去,強尼從軍去,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier,쟈니는 군대에 가버렸어요,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier,جوني وقد ذهب لجندي,Johnny Has Gone for a Soldier,Johnny Has Gone for a Soldier,18
,The Whisper Of West Wind,西风的话,西風的話,The Whisper Of West Wind,The Whisper Of West Wind,The Whisper Of West Wind,The Whisper Of West Wind,The Whisper Of West Wind,바람의속삭임,The Whisper Of West Wind,The Whisper Of West Wind,The Whisper Of West Wind,همسة الريح الغربي,The Whisper Of West Wind,The Whisper Of West Wind,17
,Moon In Breezy Night,月夜海风,月夜海風,Moon In Breezy Night,Moon In Breezy Night,Moon In Breezy Night,Moon In Breezy Night,Moon In Breezy Night,달밤해풍,Moon In Breezy Night,Moon In Breezy Night,Moon In Breezy Night,القمر في ليلة عاصفة,Moon In Breezy Night,Angin laut di Malam Bulan,19
,Sonata for Two Pianos K448,双钢琴奏鸣曲 K448,雙鋼琴奏鳴曲 K448,Sonata for Two Pianos K448,Sonata for Two Pianos K448,Соната ре мажор К448,Sonata for Two Pianos K448,Sonata for Two Pianos K448,두대의피아노를위한소나타 K448,Sonata for Two Pianos K448,Sonata for Two Pianos K448,Sonata for Two Pianos K448,سوناتا باثنين من البيانو K448,Sonata for Two Pianos K448,Sonata for Two Pianos K448,29
,Old MacDonald Had a Farm,老麦克唐纳有个农场,老麥克唐納有個農場,Old MacDonald Had a Farm,Old MacDonald Had a Farm,Old MacDonald Had a Farm,Old MacDonald Had a Farm,Old MacDonald Had a Farm,맥도널드아저씨의농장,Old MacDonald Had a Farm,Old MacDonald Had a Farm,Old MacDonald Had a Farm,جدو علي,Old MacDonald Had a Farm,Old MacDonald Had a Farm,7
,Colourful Clouds Chasing The Moon,彩云追月,彩雲追月,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon,오색구름이 달을 쫓고,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon,الغيوم الملونة مطاردة القمر,Colourful Clouds Chasing The Moon,Colourful Clouds Chasing The Moon,27
,The More We Get Together,我们同在一起,我們同在一起,The More We Get Together,The More We Get Together,The More We Get Together,The More We Get Together,The More We Get Together,우리모두다함께,The More We Get Together,The More We Get Together,The More We Get Together,نصل معا أكثرا,The More We Get Together,The More We Get Together,13
,Spirits Of The Wetlands,湿地小精灵 ,濕地小精靈,Spirits Of The Wetlands,Spirits Of The Wetlands,Spirits Of The Wetlands,Spirits Of The Wetlands,Spirits Of The Wetlands,포리스트 랩소디,Spirits Of The Wetlands,Spirits Of The Wetlands,Spirits Of The Wetlands,أرواح الأراضي الرطبة,Spirits Of The Wetlands,Spirits Of The Wetlands,20
,Bella Figlia Dell'Amore,美丽的爱之女,美麗的愛之女,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore,사랑스럽고 아름다운 아가씨여,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore,ابنة جميلة من الحب,Bella Figlia Dell'Amore,Bella Figlia Dell'Amore,18
,El Reencuentro,重逢,重逢,El Reencuentro,El Reencuentro,El Reencuentro,El Reencuentro,El Reencuentro,재회,El Reencuentro,El Reencuentro,El Reencuentro,جمع الشمل,El Reencuentro,Bertemu Lagi,9
,Clair de Lune,月光曲,月光曲,Clair de Lune,Clair de Lune,Лунный свет,Clair de Lune,Clair de Lune,달빛,Clair de Lune,Clair de Lune,Clair de Lune,ضوء القمر,Clair de Lune,Clair de Lune,9
,Csardas,查尔达斯,查爾達斯,Csardas,Csardas,Чардаш,Csardas,Csardas,차르다시,Csardas,Csardas,Csardas,التشاردش,Csardas,Csardas,8
,Dance of the Little Swans,四小天鹅,四小天鵝,Dance of the Little Swans,Dance of the Little Swans,Танец маленьких лебедей,Dance of the Little Swans,Dance of the Little Swans,작은백조의춤,Dance of the Little Swans,Dance of the Little Swans,Dance of the Little Swans,رقصة البجع الصغيرة,Dance of the Little Swans,Dance of the Little Swans,18
,Ten Little Indians,十个小印第安人,十個小印第安人,Ten Little Indians,Ten Little Indians,Десять негритят,Ten Little Indians,Ten Little Indians,열꼬마인디언,Ten Little Indians,Ten Little Indians,Ten Little Indians,عشرة هنود صغار,Ten Little Indians,Ten Little Indians,14
,Spinner,纺织姑娘,紡織姑娘,Spinner,Spinner,Пряха,Spinner,Spinner,스피너,Spinner,Spinner,Spinner,الغزال,Spinner,Spinner,6
,Birds Worship Phoenix,百鸟朝凤,百鳥朝鳳,Birds Worship Phoenix,Birds Worship Phoenix,Birds Worship Phoenix,Birds Worship Phoenix,Birds Worship Phoenix,백조조봉,Birds Worship Phoenix,Birds Worship Phoenix,Birds Worship Phoenix,مئات الطيور عبادة فينيكس,Birds Worship Phoenix,Birds Worship Phoenix,24
,Bella Ciao,啊朋友再见,啊朋友再見,Bella Ciao,Bella Ciao,Белла Чао,Bella Ciao,Bella Ciao,"안녕,내사랑",Bella Ciao,Bella Ciao,Bella Ciao,مع السلامة يا أصدقائي,Bella Ciao,Bella Ciao,21
,Two Minute Rhapsody,两分钟狂想曲,兩分鐘狂想曲,Two Minute Rhapsody,Two Minute Rhapsody,Двухминутная рапсодия,Two Minute Rhapsody,Two Minute Rhapsody,2 분랩소디,Two Minute Rhapsody,Two Minute Rhapsody,Two Minute Rhapsody,الرابسودي لدقيقتين,Two Minute Rhapsody,Rhapsody dua menit,18
,Prisoners Dream,夜囚梦醒,夜囚夢醒,Prisoners Dream,Prisoners Dream,Prisoners Dream,Prisoners Dream,Prisoners Dream,프리즈너스 드림,Prisoners Dream,Prisoners Dream,Prisoners Dream,حلم المسجون,Prisoners Dream,Prisoners Dream,11
,London Bridge Is Falling Down,伦敦铁桥垮下来,倫敦鐵橋垮下來,London Bridge Is Falling Down,London Bridge Is Falling Down,Лондонский мост падает,London Bridge Is Falling Down,London Bridge Is Falling Down,"런던다리",London Bridge Is Falling Down,London Bridge Is Falling Down,London Bridge Is Falling Down,جسر لندن في سقوط,London Bridge Is Falling Down,London Bridge Is Falling Down,16
,Old Black Joe,老黑奴,老黑奴,Old Black Joe,Old Black Joe,Old Black Joe,Old Black Joe,Old Black Joe,올드블랙조,Old Black Joe,Old Black Joe,Old Black Joe,جو أسود القديمة,Old Black Joe,Old Black Joe,15
,Little Red Riding Hood,小红帽,小紅帽,Little Red Riding Hood,Little Red Riding Hood,Красная шапочка,Little Red Riding Hood,Little Red Riding Hood,"빨간 모자",Little Red Riding Hood,Little Red Riding Hood,Little Red Riding Hood,البنت التي لقبها القبعة الحمراء,Little Red Riding Hood,Little Red Riding Hood,31
,Polonaise Op.40 No.1,波兰军队舞曲 Op.40 No.1,波蘭軍隊舞曲,Polonaise Op.40 No.1,Polonaise Op.40 No.1,Полонез Оп. 40 №1,Polonaise Op.40 No.1,Polonaise Op.40 No.1,폴로네이즈 Op.40 No.1,Polonaise Op.40 Nr.1,Polonaise Op.40 No.1,Polonaise Op.40 No.1,الرقصة البولندية No.1 Op.40,Polonaise Op.40 No.1,Polonaise Op.40 No.1,27
,Drei Intermezzi,降E大调间奏曲,降E大調間奏曲,Drei Intermezzi,Drei Intermezzi,Drei Intermezzi,Drei Intermezzi,Drei Intermezzi,3개의인터메조,Drei Intermezzi,Drei Intermezzi,Drei Intermezzi,كلية دبي العقارية فاصل مسرحي,Drei Intermezzi,Drei Intermezzi,28
,Tiger's Family,老虎一家人,老虎一家人,Tiger's Family,Tiger's Family,Tiger's Family,Tiger's Family,Tiger's Family,호랑이 패밀리,Tiger's Family,Tiger's Family,Tiger's Family,عائلة النمر,Tiger's Family,Keluarga Harimau,11
,Longing for Spring K596,渴望春天,渴望春天,Longing for Spring K596,Longing for Spring K596,Longing for Spring K596,Longing for Spring K596,Longing for Spring K596,봄을 향한 오랜 기다림 K596,Longing for Spring K596,Longing for Spring K596,Longing for Spring K596,الحنين إلى الربيع K596,Longing for Spring K596,Longing for Spring K596,22
,The Holy City,圣城颂,聖城頌,The Holy City,The Holy City,The Holy City,The Holy City,The Holy City,거룩한 성,The Holy City,The Holy City,The Holy City,أغنية عيد الفصح No.1,The Holy City,The Holy City,20
,The day of resurrection,荣耀复活日,榮耀復活日,The day of resurrection,The day of resurrection,The day of resurrection,The day of resurrection,The day of resurrection,부활절 찬송,The day of resurrection,The day of resurrection,The day of resurrection,أغنية عيد الفصح No.2,The day of resurrection,The day of resurrection,20
,Jesus Christ is risen today,基督复生歌,基督復生歌,Jesus Christ is risen today,Jesus Christ is risen today,Jesus Christ is risen today,Jesus Christ is risen today,Jesus Christ is risen today,예수 부활했으니,Jesus Christ is risen today,Jesus Christ is risen today,Jesus Christ is risen today,أغنية عيد الفصح No.3,Jesus Christ is risen today,Jesus Christ is risen today,20
,Thine is the Glory,你是荣耀主,你是榮耀主,Thine is the Glory,Thine is the Glory,Thine is the Glory,Thine is the Glory,Thine is the Glory,주님께 영광,Thine is the Glory,Thine is the Glory,Thine is the Glory,أغنية عيد الفصح No.4,Thine is the Glory,Thine is the Glory,20
,When He cometh,等主回来,等主回來,When He cometh,When He cometh,When He cometh,When He cometh,When He cometh,예수께서 오실 때에,When He cometh,When He cometh,When He cometh,أغنية عيد الفصح No.5,When He cometh,When He cometh,20
,Thanks to god,感谢神,感謝神,Thanks to God,Thanks to God,Thanks to God,Thanks to God,Thanks to God,날 구원하신 주 감사,Thanks to God,Thanks to God,Thanks to God,أغنية عيد الفصح No.6,Thanks to God,Thanks to God,20
,Singing I go,生命路上 ,生命路上,Singing I go,Singing I go,Singing I go,Singing I go,Singing I go,주 안에 있는 나에게,Singing I go,Singing I go,Singing I go,الذهاب مع الغناء,Singing I go,Singing I go,16
,Country Dances,乡村舞曲,鄉村舞曲,Country Dances,Country Dances,Контрданс,Country Dances,Country Dances,컨트리댄스,Country Dances,Country Dances,Country Dances,رقصات القرية,Country Dances,Country Dances,12
,La Styrienne,斯提利亚人,斯提利亞人,La Styrienne,La Styrienne,La Styrienne,La Styrienne,La Styrienne,스티리아의여인,La Styrienne,La Styrienne,La Styrienne,في ستيريا,La Styrienne,La Styrienne,9
,Cantata No.147,康塔塔 No.147,康塔塔 No.147,Cantata No.147,Cantata No.147,Кантата №147,Cantata No.147,Cantata Nr.147,칸타타 No.147,Cantata No.147,Cantata No.147,Cantata No.147,الكنتاتة No. 147,Cantata No.147,Cantata No.147,16
,Waltz Op.39 No.15,圆舞曲 Op.39 No.15,圓舞曲 Op.39 No.15,Waltz Op.39 No.15,Waltz Op.39 No.15,Вальс Op.39 №15,Waltz Op.39 No.15,Waltz Op.39 Nr.15,왈츠 Op.39 No.15,Waltz Op.39 No.15,Waltz Op.39 No.15,Waltz Op.39 No.15,الفالس No.15 Op. 39,Waltz Op.39 No.15,Waltz Op.39 No.15,19
,Sonata K570 Mvt.3,奏鸣曲 K570 第三章,奏鳴曲 K570 第三章,Sonata K570 Mvt.3,Sonata K570 Mvt.3,Соната К570 действие 3,Sonata K570 Mvt.3,Sonata K570 3. Satz,소나타 K570 3 악장,Sonata K570 Mvt.3,Sonata K570 Mvt.3,Sonata K570 Mvt.3,السوناتا Mvt.3 K570,Sonata K570 Mvt.3,Sonata K570 Mvt.3,19
,The Wayside Rose,路旁的玫瑰,路旁的玫瑰,The Wayside Rose,The Wayside Rose,The Wayside Rose,The Wayside Rose,The Wayside Rose,길가의 장미,The Wayside Rose,The Wayside Rose,The Wayside Rose,الوردة على قارعة الطريق,The Wayside Rose,The Wayside Rose,23
,Minuet,小步舞曲,小步舞曲,Minuet,Minuet,Менуэт,Minuet,Minuet,미뉴에트,Minuet,Minuet,Minuet,المينيويت,Minuet,Minuet,9
,The Last Rose of Summer,夏天最后一朵玫瑰,夏天最後一朵玫瑰,The Last Rose of Summer,The Last Rose of Summer,Последняя роза лета,The Last Rose of Summer,The Last Rose of Summer,여름날의 마지막 장미,The Last Rose of Summer,The Last Rose of Summer,The Last Rose of Summer,الوردة الأخيرة في الصيف,The Last Rose of Summer,The Last Rose of Summer,23
,Sonata in B-flat Major Mvt.1,降B大调奏鸣曲 第一章,降B大調奏鳴曲 第一章,Sonata in B-flat Major Mvt.1,Sonata in B-flat Major Mvt.1,"Соната №13, действие 1",Sonata in B-flat Major Mvt.1,Sonata in B-flat Dur 1. Satz,소나타 ♭B장조 1악장,Sonata in B-flat Major Mvt.1,Sonata in B-flat Major Mvt.1,Sonata in B-flat Major Mvt.1,سوناتا في سلم سي منخفض الكبير Mvt.1,Sonata in B-flat Major Mvt.1,Sonata in B-flat Major Mvt.1,35
,Partita No.6,帕蒂塔 No.6,帕蒂塔 No.6,Partita No.6,Partita No.6,Партита №6,Partita No.6,Partita Nr.6,파르티타 6번,Partita No.6,Partita No.6,Partita No.6,بارتيتا No.6,Partita No.6,Partita No.6,12
,Hunter's Chorus,猎人合唱,獵人合唱,Hunter's Chorus,Hunter's Chorus,Huntsmen's Chorus,Hunter's Chorus,Hunter's Chorus,사냥꾼의 합창,Hunter's Chorus,Hunter's Chorus,Hunter's Chorus,جوقة الصياد,Hunter's Chorus,Hunter's Chorus,11
,Fur Elise,致爱丽丝,致愛麗絲,Fur Elise,Fur Elise,К Элизе,Fur Elise,Für Elise,엘리제를 위하여,Fur Elise,Fur Elise,Fur Elise,من أجل إليزة,Fur Elise,Fur Elise,12
,Canon ( Rock ),卡农 摇滚版,卡農 搖滾版,Canon ( Rock ),Canon ( Rock ),Канон(Рок),Canon ( Rock ),Canon Rock,캐논 록 버전,Canon ( Rock ),Canon ( Rock ),Canon ( Rock ),كاهن (روك),Kanon(Rock),Canon ( Rock ),10
,Turkish March,土耳其进行曲,土耳其進行曲,Turkish March,Turkish March,Турецкий марш,Turkish March,Türkischer Marsch,터키 행진곡,Turkish March,Marche Turque,Turkish March,مسيرة تركية,Türk Marşı,Turkish March,11
,Flight of the Bumblebee,野蜂飞舞,野蜂飛舞,Flight of the Bumblebee,Flight of the Bumblebee,Полет шмеля,Flight of the Bumblebee,Hummelflug,왕벌의 비행,Flight of the Bumblebee,Flight of the Bumblebee,Flight of the Bumblebee,رحلة النحلة,Flight of the Bumblebee,Flight of the Bumblebee,11
,Yankee Doodle,扬基歌,揚基歌,Yankee Doodle,Yankee Doodle,Янки Дудль,Yankee Doodle,Yankee Doodle,미국 사람,Yankee Doodle,Yankee Doodle,Yankee Doodle,ينكي دودل,Yankee Doodle,Yankee Doodle,9
,Ode An Die Freude,欢乐颂,歡樂頌,Ode An Die Freude,Ode an die Freude,Ода к радости,Ode to joy,Ode an die Freude,환희에 부침,Ode An Die Freude,Ode An Die Freude,Ode An Die Freude,قصيدة الفرح,Ode An Die Freude,Ode An Die Freude,11
,Auf Flugeln Des Gesanges,乘着歌声的翅膀,乘著歌聲的翅膀,Auf Flugeln Des Gesanges,Auf Flugeln des Gesanges,На крыльях песни,Auf Flugeln Des Gesanges,Auf Flügeln des Gesanges,노래의 날개 위에,Auf Flugeln Des Gesanges,Auf Flugeln Des Gesanges,Auf Flugeln Des Gesanges,أوف فلجلن دي جسنجس,Auf Flugeln Des Gesanges,Auf Flugeln Des Gesanges,18
,The Seasons Op.37,六月船歌,六月船歌,The Seasons Op.37,The Seasons Op.37,Времена Года Op.37,The Seasons Op.37,Die Vier Jahreszeiten Op.37,계절 Op.37,The Seasons Op.37,The Seasons Op.37,The Seasons Op.37,الفصول Op.37,The Seasons Op.37,The Seasons Op.37,12
,New World Symphony Mvt.4,自新大陆,自新大陸,New World Symphony Mvt.4,New World Symphony Mvt.4,Новый мир Симфония 4 часть,New World Symphony Mvt.4,New World Symphony 4. Satz,신세계 교향곡 4 악장,New World Symphony Mvt.4,New World Symphony Mvt.4,New World Symphony Mvt.4,من العالم الجديد Mvt.4,New World Symphony Mvt.4,New World Symphony Mvt.4,22
,Paganini Rhapsody Var.18,帕格尼尼主题狂想曲,帕格尼尼主題狂想曲,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,Паганини Рапсодия вар.18,Paganini Rhapsody Var.18,Paganini Rhapsodie 18.Var.,파가니니 랩소디 18번 변주곡,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,رابسودي باغانيني Var.18,Paganini Rhapsody Var.18,Paganini Rhapsody Var.18,23
,Nocturne Op.9 No.1,降b小调夜曲,降b小調夜曲,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Ноктюрн Op.9 №1,Nocturne Op.9 No.1,Nocturne Op.9 Nr.1,녹턴 Op.9 No.1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,Nocturne Op.9 No.1,نوكتيورن No.1 Op.9,Nocturne Op.9 No.1,Nocturne Op.9 No.1,18
,Sonata Pathetique Mvt.3,悲怆奏鸣曲 第三章,悲愴奏鳴曲 第三章,Sonata Pathetique Mvt.3,Sonata pathetique Mvt.3,Патетическая соната 3 часть,Sonata pathetique Mvt.3,Sonata Pathetique 3. Satz,비창 소나타 3 악장,Sonata Pathetique Mvt.3,Sonata Pathetique Mvt.3,Sonata Pathetique Mvt.3,سوناتا بتتيك Mvt.3,Sonata Pathetique Mvt.3,Sonata Pathetique Mvt.3,18
,Wedding March,婚礼进行曲,婚禮進行曲,Wedding March,Wedding March,Свадебный марш,Wedding March,Hochzeitsmarsch,축혼행진곡,Wedding March,Wedding March,Wedding March,مسيرة عروسية,Wedding March,Wedding March,12
,Oh! Susanna,哦，苏珊娜,哦，蘇珊娜,Oh! Susanna,Oh! Susanna,"О, Сюзанна",Oh! Susanna,Oh! Susanna,"오, 수재너",Oh! Susanna,Oh! Susanna,Oh! Susanna,أوه! سوزانا,Oh! Susanna,Oh! Susanna,11
,Three Bears,三只小熊,三隻小熊,Three Bears,Three Bears,Три Медведя,Three Bears,Die Drei Bären,곰돌이송,Three Bears,Three Bears,Three Bears,ثلاثة دببة,Three Bears,Three Bears,10
,Red River Valley,红河谷,紅河谷,Red River Valley,Red River Valley,Долина Красной Реки,Red River Valley,Red River Valley,레드 리버 밸리,Red River Valley,Red River Valley,Red River Valley,وادي النهر الأحمر,Red River Valley,Red River Valley,17
,The Planets - Jupiter,行星组曲 - 木星,行星組曲 - 木星,The Planets - Jupiter,The Planets - Jupiter,Планет - Юпитер,The Planets - Jupiter,Die Planeten - Jupiter,행성 - 목성,The Planets - Jupiter,The Planets - Jupiter,The Planets - Jupiter,الكواكب - كوكب المشتري,The Planets - Jupiter,The Planets - Jupiter,22
,Hungarian Rhapsody No.2,匈牙利狂想曲No.2,匈牙利狂想曲No.2,Hungarian Rhapsody No.2,Hungarian Rhapsody No.2,Венгерская Рапсодия №2,Hungarian Rhapsody No.2,Ungarische Rhapsodie Nr.2,헝가리풍 랩소디 No.2,Hungarian Rhapsody No.2,Hungarian Rhapsody No.2,Hungarian Rhapsody No.2,الرابسودي الهنغاري No.2,Hungarian Rhapsody No.2,Hungarian Rhapsody No.2,23
,Etude Op.10 No.12,革命练习曲,革命練習曲,Etude Op.10 No.12,Etude Op.10 No.12,Этюд Op.10 №12,Etude Op.10 No.12,Etude Op.10 Nr.12,에튀드 Op.10 No.12,Etude Op.10 No.12,Etude Op.10 No.12,Etude Op.10 No.12,القطعة الموسيقية No.12 Op.10,Etude Op.10 No.12,Etude Op.10 No.12,28
